metric,median_abs_value,R1-R2_n,R1-R2_median_delta,R1-R2_p90_delta,R1-M1_n,R1-M1_median_delta,R1-M1_p90_delta,M1-M23_n,M1-M23_median_delta,M1-M23_p90_delta,R1-M23_n,R1-M23_median_delta,R1-M23_p90_delta,R1-M28_n,R1-M28_median_delta,R1-M28_p90_delta,R1-H23_n,R1-H23_median_delta,R1-H23_p90_delta,R1-H28_n,R1-H28_median_delta,R1-H28_p90_delta,R1-M18_n,R1-M18_median_delta,R1-M18_p90_delta,R1-M12_n,R1-M12_median_delta,R1-M12_p90_delta,PR-PM1_n,PR-PM1_median_delta,PR-PM1_p90_delta,PR-PM23_n,PR-PM23_median_delta,PR-PM23_p90_delta,PR-PM28_n,PR-PM28_median_delta,PR-PM28_p90_delta,PR-PH23_n,PR-PH23_median_delta,PR-PH23_p90_delta,PR-PH28_n,PR-PH28_median_delta,PR-PH28_p90_delta,PR-PM18_n,PR-PM18_median_delta,PR-PM18_p90_delta,PR-PM12_n,PR-PM12_median_delta,PR-PM12_p90_delta
lagAngle,8.4452,114,0.0,0.0,114,1.1028,5.1534,114,0.9882,4.8103,114,1.1373,5.9515,114,1.5435,5.588,114,1.3207,6.3248,114,1.3161,5.3427,114,1.0067,5.1038,114,1.1642,5.7393,114,0.041,1.126,114,0.0377,1.1419,114,0.0681,1.6153,114,0.0372,1.986,114,0.0475,1.1762,114,0.0367,1.3885,114,0.0232,1.2535
leadArmAngularSpeed,556.4827,72,0.0,0.0,72,12.0554,67.1187,71,9.5484,68.201,71,11.7807,99.4673,72,13.9718,80.6894,71,7.8839,81.0969,72,15.6528,94.622,71,10.39,73.5681,71,10.6161,92.5479,72,2.519,20.708,72,3.9615,22.3564,72,3.5995,29.3329,72,2.8479,20.3086,72,2.7658,20.0771,72,3.0209,19.2251,72,2.505,15.4382
leadArmToTorso,66.3525,151,0.0,0.0,151,0.9429,10.3502,152,0.8385,8.9952,151,0.878,11.0566,151,1.2156,9.9119,151,0.9247,13.8576,150,1.3074,10.3678,151,0.7212,14.6144,150,0.7296,8.4612,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0
leadFootFlare,69.3321,38,0.0,0.0,38,2.1658,8.4815,38,1.6675,11.0709,38,2.1086,8.3844,38,3.3167,12.9171,38,2.3407,11.263,38,2.061,12.4019,38,2.359,13.9815,38,1.8093,5.8224,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
leadHandWidth,67.0637,151,0.0,0.0,151,0.9801,15.918,152,0.748,9.2911,151,1.1002,12.9042,151,1.1235,10.9644,151,0.9048,22.4048,151,1.49,17.1174,151,0.7745,17.3634,151,0.8944,14.4347,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0
leadHeelLift,0.7793,84,0.0,0.0,84,0.2496,1.6536,87,0.1863,1.6246,84,0.2586,1.9718,84,0.3366,1.7324,84,0.24,1.5772,84,0.2589,1.6041,84,0.2024,2.1501,84,0.2958,1.0439,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0
leadKneeDrift,3.5642,114,0.0,0.0,114,1.058,4.328,114,0.8663,6.4171,114,1.0182,6.3238,114,1.2633,5.4483,114,1.0115,6.735,114,1.4191,3.9571,114,1.2313,5.1702,114,0.9979,5.4229,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
leadUpperArmToChest,52.2311,151,0.0,0.0,151,0.8296,6.9185,152,0.5,4.9146,151,0.7677,6.1794,151,1.0932,5.2724,151,0.9574,5.4059,150,1.0554,5.3891,151,0.5528,4.3508,150,0.5724,6.317,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0,151,0.0,0.0
lowPointAhead,1.9456,29,0.0,0.0,28,0.3269,1.354,27,0.3861,2.3052,27,0.5796,1.9838,26,0.7546,2.7718,27,0.4386,2.1827,29,0.4847,1.702,28,0.4763,2.2922,27,0.7588,2.5564,29,0.1529,0.8917,27,0.2485,0.7857,27,0.1383,2.5869,29,0.265,1.2528,29,0.1854,1.0956,29,0.1531,1.7544,28,0.1249,0.6442
pelvisAngularSpeed,201.3014,59,0.0,0.0,57,61.9609,398.4207,61,39.7019,234.5327,56,59.0917,253.4586,54,71.1658,457.3326,55,48.2457,215.5144,56,86.0007,507.0032,55,39.8205,163.0197,58,68.2346,336.0506,59,0.0,0.0,59,0.0,0.0,59,0.0,1.4005,59,0.0,0.0,59,0.0,0.0,59,0.0,0.0,59,0.0,0.0
pelvisLift,5.224,114,0.0,0.0,114,1.3252,5.7979,114,0.7816,3.2152,114,1.1414,5.6149,114,1.7862,5.1391,114,1.379,5.2632,114,1.3979,5.0039,114,0.9621,5.5252,114,0.8634,4.7274,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
pelvisSway,14.82,114,0.0,0.0,114,0.5443,1.8709,114,0.3339,1.6044,114,0.4756,1.8686,114,0.8102,2.5838,114,0.608,1.8114,114,0.6946,2.265,114,0.5004,2.3405,114,0.4652,2.5205,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
plumbBobDistance,0.8534,196,0.0,0.0,196,0.1568,0.5982,200,0.1355,0.5656,193,0.155,0.5134,194,0.2364,0.6402,193,0.1562,0.5351,196,0.1773,0.6806,193,0.1345,0.5828,193,0.1336,0.5526,196,0.0,0.0,196,0.0,0.0,196,0.0,0.0,196,0.0,0.0,196,0.0,0.0,196,0.0,0.0,196,0.0,0.0
secondaryAxisTilt,5.3395,113,0.0,0.0,113,0.3188,3.3149,114,0.1958,3.6786,113,0.2849,2.148,113,0.4495,3.0117,113,0.3136,2.2958,113,0.441,2.6777,113,0.2652,2.5921,113,0.248,3.4917,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0
shaftAngleVsHorizontal,66.0,152,0.0,0.0,152,2.0,33.9,152,2.0,37.9664,152,2.9943,50.7641,152,3.0,35.7,152,3.1399,43.7947,152,3.0,35.3,152,2.1742,34.0,152,2.7616,38.9802,152,0.98,21.9947,152,0.3941,23.9931,152,1.4662,35.0,152,1.0,33.8803,152,0.8144,26.8,152,0.1376,19.9,152,0.0122,27.7693
shoulderPlaneAngle,11.7562,84,0.0,0.0,80,0.378,1.1163,84,0.2479,0.9255,79,0.3175,1.0301,79,0.5074,1.5186,78,0.2866,1.2828,78,0.43,1.2104,81,0.2065,1.1257,79,0.1889,0.9189,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0
spineSideBend,8.364,84,0.0,0.0,80,1.1062,9.2952,84,0.4814,5.7078,79,1.093,6.971,79,1.0172,9.7558,78,0.842,8.377,78,1.2515,7.1918,81,0.6853,5.7773,79,0.4856,7.548,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0,84,0.0,0.0
stanceWidth,81.3392,38,0.0,0.0,38,0.8324,2.3763,38,0.5854,1.2881,38,0.7752,2.0264,38,1.0833,2.5476,38,0.854,2.5425,38,1.4545,2.9852,38,0.7786,2.1096,38,0.7233,1.8216,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
stanceWidthMm,239.3481,28,0.0,0.0,28,2.032,5.1445,29,1.0943,3.6225,28,1.7287,4.7584,28,1.7139,7.2596,28,1.786,8.9971,28,3.2775,8.7955,28,1.4558,5.5429,28,1.9057,5.376,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
swingPlaneIotaBack,25.3867,38,0.0,0.0,38,1.9185,7.2497,37,1.7193,8.4745,37,2.7951,6.8044,37,2.2019,6.5137,38,2.1965,8.4584,38,2.2398,6.3292,38,2.521,7.895,38,2.5322,8.0008,38,1.6511,5.1228,38,1.4356,4.7723,38,1.7966,5.6487,38,1.0778,3.5667,38,1.5396,3.3511,38,1.3226,3.8899,38,1.261,4.5602
swingPlaneIotaDown,22.4379,38,0.0,0.0,38,2.7888,8.7507,37,1.8246,7.4617,37,2.9774,8.2195,37,3.0903,10.4834,38,2.3241,9.5392,38,3.6098,8.2639,38,3.4593,14.2843,38,3.6991,10.2038,38,1.6475,9.2263,38,2.3216,8.8383,38,2.0347,9.708,38,1.7886,7.8325,38,1.7921,7.5465,38,2.2197,7.9149,38,1.5799,7.5999
tempoBackswing,0.7572,38,0.0,0.0,38,0.0065,0.0337,38,0.0,0.0802,38,0.0067,0.0824,38,0.0068,0.0925,38,0.0066,0.0952,38,0.0065,0.0433,38,0.007,0.0637,38,0.0001,0.0824,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
tempoRatio,2.6547,38,0.0,0.0,38,0.0237,0.2208,38,0.0,0.4684,38,0.0566,0.9357,38,0.0666,0.9228,38,0.0233,0.9908,38,0.0226,0.2064,38,0.0743,0.5983,38,0.0412,0.9357,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
thoraxAngularSpeed,356.2565,48,0.0,0.0,44,55.6787,421.1694,41,35.3669,521.0701,39,50.4157,434.1612,42,55.5413,264.2711,45,42.3239,466.0474,46,57.6326,479.2142,43,44.3847,526.0235,45,33.4895,532.9878,48,0.0,7.4459,48,0.0,0.0,48,0.0,25.3052,48,0.0,7.9315,48,0.0,18.9822,48,0.0,7.4459,48,0.0,0.0
thoraxLateralDrift,39.7718,113,0.0,0.0,113,2.6376,17.5264,114,2.4235,14.6052,113,2.5525,15.6516,113,3.4507,22.9919,113,2.2069,18.9833,113,3.2962,16.3786,113,3.513,12.4702,113,2.6289,16.0755,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0,113,0.0,0.0
toeLineAngle,177.2789,38,0.0,0.0,38,1.8857,349.9014,38,0.8417,60.8759,38,0.8116,182.7748,38,1.877,168.6333,38,0.9399,168.3053,38,0.8919,176.5441,38,0.7907,166.8534,38,0.5827,170.834,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
trailElbowHeight,97.508,118,0.0,0.0,114,0.9482,7.1212,119,0.7193,7.5054,113,0.916,7.4705,112,1.7273,8.6162,109,0.9267,13.7141,111,1.5689,9.2372,113,0.8139,9.3066,112,0.801,9.2456,118,0.0,0.0,118,0.0,0.0,118,0.0,0.0,118,0.0,0.0,118,0.0,0.0,118,0.0,0.0,118,0.0,0.0
trailFootFlare,121.7479,38,0.0,0.0,38,1.9651,8.5726,38,1.2016,7.7362,38,2.0583,7.4418,38,1.7006,7.2286,38,1.8225,7.697,38,1.3052,8.3274,38,0.9936,5.6441,38,2.0164,4.7289,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
trailWristFlexExt,10.2121,152,0.0,0.0,152,2.4383,19.7716,152,1.3652,22.6335,152,2.132,36.6847,152,2.7985,32.4018,152,2.0534,39.6514,152,1.9197,20.4828,152,1.5141,21.1529,152,1.3638,18.0393,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0
transitionPlaneDelta,5.9515,38,0.0,0.0,38,4.6174,12.2373,37,2.8654,10.4884,37,4.7844,11.5899,37,4.5315,12.4693,38,3.8794,13.8457,38,4.0525,11.7768,38,4.6406,16.0576,38,6.4667,12.6031,38,3.425,14.7232,38,3.3461,10.014,38,3.6452,10.9356,38,2.5852,7.3752,38,1.7531,9.6552,38,2.4406,9.5694,38,3.024,9.737
