swing,result,first_difference
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0008,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0009,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0010,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0011,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0012,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0013,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0014,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0015,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0002,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0003,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0004,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0005,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0006,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0007,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0008,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0009,EQUAL,
corpus/swings/2026-07-05_Mark-Liversedge_Wrist_02/swing_0010,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0008,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0009,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0010,EQUAL,
corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0011,EQUAL,
corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0001,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0002,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0003,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0004,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0005,EQUAL,
corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0006,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0001,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0002,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0004,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0005,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0006,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0007,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0008,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0009,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0010,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0011,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0012,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0013,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0014,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0015,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0016,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0017,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0018,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0019,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0020,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0021,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0022,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0023,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0024,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0025,EQUAL,
corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0026,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0001,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0002,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0003,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0004,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0005,EQUAL,
corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0006,EQUAL,
corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
