item,R1-R2_n,R1-R2_median,R1-R2_p90,R1-M1_n,R1-M1_median,R1-M1_p90,M1-M23_n,M1-M23_median,M1-M23_p90,R1-M23_n,R1-M23_median,R1-M23_p90,R1-M28_n,R1-M28_median,R1-M28_p90,R1-H23_n,R1-H23_median,R1-H23_p90,R1-H28_n,R1-H28_median,R1-H28_p90,R1-M18_n,R1-M18_median,R1-M18_p90,R1-M12_n,R1-M12_median,R1-M12_p90,PR-PM1_n,PR-PM1_median,PR-PM1_p90,PR-PM23_n,PR-PM23_median,PR-PM23_p90,PR-PM28_n,PR-PM28_median,PR-PM28_p90,PR-PH23_n,PR-PH23_median,PR-PH23_p90,PR-PH28_n,PR-PH28_median,PR-PH28_p90,PR-PM18_n,PR-PM18_median,PR-PM18_p90,PR-PM12_n,PR-PM12_median,PR-PM12_p90
metric:ballPosition:P0,25,0.0,0.0,25,1.7381,7.2744,25,0.5537,2.8843,25,1.3328,4.5459,25,1.7375,7.9545,25,1.9132,2.7044,25,1.7045,5.2663,25,0.9649,3.3266,25,1.1728,3.9392,25,0.0116,0.0385,25,0.0069,0.0741,25,0.0128,0.1427,25,0.0062,0.0588,25,0.013,0.0804,25,0.0029,0.0357,25,0.0022,0.0278
metric:clubAngularSpeed:P5,22,0.0,0.0,20,61.007,137.3463,19,91.3771,285.9981,19,102.082,252.554,17,58.4128,268.5825,19,73.7002,193.6038,18,43.3812,178.2407,20,52.043,175.745,16,52.0561,233.1198,22,13.8707,121.8169,22,33.0962,115.1178,22,33.9233,154.331,22,17.2463,124.5376,22,15.2194,101.9288,21,31.7228,112.9743,22,22.2414,86.9672
metric:clubAngularSpeed:P9,38,0.0,0.0,38,45.6178,225.176,38,59.1863,256.9554,38,67.1236,253.723,38,45.1508,213.7237,38,40.5978,160.4875,38,51.548,170.6987,38,54.2364,225.7252,38,54.6647,253.0706,38,23.1342,85.7523,38,31.8862,78.0265,38,44.1698,203.5948,38,29.4584,128.4142,38,30.6605,124.9467,38,25.9875,73.306,38,21.8994,165.0725
metric:clubheadPeakLead:P5,38,0.0,0.0,38,2.9375,158.6384,38,1.0595,94.2912,38,0.8515,159.4601,38,23.195,157.7498,38,2.3445,142.6605,38,2.705,160.6359,38,2.295,154.166,38,2.391,160.6359,38,0.0,52.5002,38,0.0,1.2501,38,0.0,44.1669,38,0.0,1.2501,38,0.0,0.0,38,0.0,4.1663,38,0.0,0.0
metric:clubheadSpeed:P0,38,0.0,0.0,38,0.3901,2.5256,38,0.3989,1.6894,38,0.496,3.5242,38,0.6776,7.729,38,0.5332,2.0686,38,0.9237,9.5022,38,0.6024,7.4542,38,0.4702,7.5084,38,0.0519,0.6274,38,0.0496,0.5612,38,0.0874,0.9975,38,0.034,0.6707,38,0.0355,0.6102,38,0.0407,0.8082,38,0.0265,0.6332
metric:clubheadSpeed:P2,38,0.0,0.0,38,0.4506,3.222,38,0.3369,2.3969,38,0.4364,4.8166,38,0.4624,3.1313,38,0.4728,6.4581,38,0.427,2.3222,38,0.3139,3.7116,38,0.4102,3.5714,38,0.0117,0.4958,38,0.008,1.0391,38,0.0231,1.1423,38,0.0219,0.6221,38,0.0139,1.0977,38,0.021,0.6105,38,0.008,0.5251
metric:clubheadSpeed:P5,38,0.0,0.0,38,1.7556,9.0316,38,1.6189,13.5273,38,2.5628,12.6744,38,2.5994,11.8354,38,2.3354,10.786,38,2.811,12.907,38,1.8136,12.3366,38,1.5594,12.1885,38,0.1397,4.9614,38,0.1523,4.2272,38,0.528,8.0522,38,0.2564,6.4686,38,0.2773,6.8094,38,0.277,6.3161,38,0.1065,1.8241
metric:comOverLeadFoot:P0,38,0.0,0.0,38,2.4955,24.1304,38,1.725,24.4938,38,1.7688,21.3851,38,3.4276,22.1913,38,1.3275,25.4298,38,2.2048,34.1649,38,1.8391,17.4368,38,2.3144,20.5829,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:comOverLeadFoot:P2,38,0.0,0.0,38,2.9133,7.5859,38,1.626,5.6638,38,2.0302,6.1126,38,3.1429,7.9071,38,3.0571,6.4018,38,1.8834,6.8289,38,2.457,6.9173,38,1.4841,7.8468,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:comOverLeadFoot:P5,38,0.0,0.0,38,1.5799,5.7755,38,1.7712,6.7743,38,1.7207,4.6828,38,2.7101,6.8207,38,1.6999,3.9791,38,2.7235,7.0897,38,1.8669,7.3314,38,1.4455,5.384,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:comOverLeadFoot:P7,38,0.0,0.0,38,2.1696,6.234,38,0.9714,8.4496,38,1.3205,13.1176,38,2.3375,10.3523,38,2.5573,8.3699,38,1.5646,6.4166,38,1.4758,8.6249,38,1.1155,6.4252,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:elbowAlignment:P0,38,0.0,0.0,38,1.8813,21.5209,38,1.3992,9.4015,38,1.5809,35.6826,38,1.7992,30.9499,38,1.532,32.9519,38,1.8135,16.7831,38,1.0356,17.4884,38,0.765,19.9081,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:elbowAlignment:P2,34,0.0,0.0,32,1.9661,6.2545,31,1.7711,4.6955,30,2.6099,6.8554,30,2.5806,9.0528,32,1.8393,6.9721,30,2.5949,8.0711,30,1.3342,7.9318,31,1.6298,3.7203,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0
metric:elbowAlignment:P5,38,0.0,0.0,38,0.3982,2.884,38,0.2883,3.9529,38,0.4234,4.1945,38,0.6485,2.3716,38,0.4118,4.5204,38,0.4411,2.9502,38,0.2495,3.1292,38,0.2334,3.3198,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:feetAlignment:P0,38,0.0,0.0,38,0.5594,5.7759,38,0.3387,5.6068,38,0.468,6.2547,38,0.7259,6.9878,38,0.3831,6.808,38,0.3991,12.3153,38,0.4214,3.1963,38,0.4042,4.186,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:feetAlignment:P2,38,0.0,0.0,38,0.452,1.5042,38,0.3308,1.2676,38,0.5012,1.2938,38,0.5818,1.49,38,0.6442,1.2995,38,0.4296,1.4012,38,0.5724,1.2661,38,0.4376,1.0394,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:feetAlignment:P5,38,0.0,0.0,38,0.4149,1.35,38,0.3811,1.4701,38,0.3705,1.1333,38,0.3568,1.5472,38,0.2971,1.1957,38,0.4804,1.8836,38,0.4568,1.6393,38,0.2735,1.1465,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:handSpeed:P0,38,0.0,0.0,38,0.0742,1.125,38,0.0825,0.743,38,0.1031,2.4593,38,0.1662,2.6474,38,0.1058,2.4176,38,0.1731,3.7034,38,0.0676,2.5054,38,0.0855,4.4258,38,0.0011,0.0129,38,0.0006,0.0158,38,0.0008,0.0228,38,0.0004,0.0116,38,0.0006,0.0217,38,0.0004,0.0208,38,0.0004,0.0215
metric:handSpeed:P2,38,0.0,0.0,38,0.1537,0.8586,38,0.1536,0.7751,38,0.1725,3.0101,38,0.1521,1.7207,38,0.2051,1.3635,38,0.2068,0.6895,38,0.1412,0.8437,38,0.1386,1.1423,38,0.0015,0.012,38,0.0014,0.0234,38,0.0016,0.017,38,0.0005,0.0136,38,0.0014,0.0197,38,0.0013,0.0218,38,0.0014,0.0107
metric:handSpeed:P5,38,0.0,0.0,38,0.2462,1.2263,38,0.1906,1.0525,38,0.3054,1.06,38,0.342,1.1449,38,0.2301,1.1109,38,0.2176,0.8712,38,0.2123,0.7514,38,0.1485,0.5963,38,0.0307,0.1562,38,0.0336,0.383,38,0.0478,0.2318,38,0.0152,0.2153,38,0.0446,0.1835,38,0.0253,0.2953,38,0.0285,0.2124
metric:headLift:P0,38,0.0,0.0,38,0.2958,4.3668,38,0.2842,3.5431,38,0.4183,5.453,38,0.7924,6.3416,38,0.3489,4.813,38,0.3238,4.806,38,0.3871,4.8408,38,0.5283,5.5657,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headLift:P2,38,0.0,0.0,38,0.1663,1.7712,38,0.2319,2.2918,38,0.1929,1.3451,38,0.1928,3.2016,38,0.1879,1.569,38,0.1797,1.3942,38,0.1726,2.8742,38,0.2025,0.8603,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headLift:P5,38,0.0,0.0,38,0.2067,0.9032,38,0.2008,1.0262,38,0.1972,1.0664,38,0.237,1.4271,38,0.1934,1.1574,38,0.1855,1.1853,38,0.2122,1.653,38,0.1174,1.0406,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headSway:P0,38,0.0,0.0,38,0.0781,0.5301,38,0.0597,0.462,38,0.1361,0.9135,38,0.0503,0.5503,38,0.1297,0.5825,38,0.1071,0.5746,38,0.1265,0.5455,38,0.138,0.7363,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headSway:P2,38,0.0,0.0,38,0.262,0.7635,38,0.1433,1.1567,38,0.2589,1.497,38,0.4017,1.91,38,0.2273,0.9464,38,0.363,1.2985,38,0.218,0.9265,38,0.2304,1.6399,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headSway:P5,38,0.0,0.0,38,0.153,0.7107,38,0.1003,0.304,38,0.1754,0.7196,38,0.2228,0.6724,38,0.1739,0.5952,38,0.1931,1.0267,38,0.1654,0.7991,38,0.1615,1.0805,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headTilt:P0,38,0.0,0.0,38,4.2852,41.14,38,4.1523,66.8319,38,5.0556,63.843,38,1.5679,118.3644,38,5.053,55.9052,38,4.2923,78.9552,38,3.0726,66.6458,38,2.8792,46.1391,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headTilt:P2,38,0.0,0.0,38,6.0799,49.532,38,3.4059,56.0025,38,7.2774,57.612,38,5.2251,66.1713,38,7.266,56.9341,38,6.8224,63.9248,38,4.8685,57.1273,38,3.9815,52.0246,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headTilt:P5,38,0.0,0.0,38,3.2517,54.4417,38,2.8418,56.9785,38,2.9825,54.2938,38,2.4573,65.1538,38,3.0203,54.2802,38,4.311,62.8415,38,3.628,59.657,38,1.7676,52.3968,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P0,38,0.0,0.0,38,1.0027,10.5877,38,0.4911,3.0929,38,1.1437,9.9862,38,0.9875,9.0181,38,0.7633,11.4716,38,1.1459,7.1432,38,0.7311,9.8183,38,0.3023,5.5018,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P12,38,0.0,0.0,38,1.0764,5.0738,37,0.5903,2.8157,37,0.9383,5.3506,37,0.874,6.0293,37,0.6315,7.0749,38,0.8785,4.9216,37,0.544,2.9606,37,0.4839,7.1488,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0782,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P13,38,0.0,0.0,38,0.3974,0.943,37,0.2806,0.8314,37,0.5028,1.067,38,0.5505,1.9976,37,0.3886,1.1013,38,0.5165,1.2483,37,0.3768,0.9993,37,0.3553,1.0474,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P2,38,0.0,0.0,38,0.5271,1.7482,38,0.4612,0.9852,38,0.6089,1.5852,38,0.8664,2.1641,38,0.655,1.4486,38,0.7024,2.0305,38,0.5764,1.7938,38,0.4968,2.037,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P5,38,0.0,0.0,38,0.5585,5.1026,38,0.2986,5.4242,38,0.554,4.0686,38,0.8442,6.3827,38,0.4095,6.148,38,0.7063,5.4599,38,0.4075,4.1278,38,0.3259,4.0346,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P8,38,0.0,0.0,38,0.4017,1.2614,37,0.2632,1.1822,37,0.4434,1.5639,37,0.5638,1.46,37,0.5522,1.5404,38,0.3936,1.5374,37,0.4013,1.1389,37,0.4281,1.3024,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P9,38,0.0,0.0,38,0.6525,2.5572,38,0.4,3.6241,38,0.627,2.5212,38,0.7413,2.2951,38,0.6479,2.7276,38,0.7918,2.0585,38,0.3055,1.9804,38,0.3312,2.6559,38,0.0,0.5065,38,0.0,0.2189,38,0.0,0.4538,38,0.0,0.3844,38,0.0,0.7807,38,0.0,0.4932,38,0.0,0.1088
metric:hm.forearmRotation:P0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.forearmRotation:P2,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.forearmRotation:P5,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristFlexExt:P0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristFlexExt:P2,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristFlexExt:P5,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristRadUln:P0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristRadUln:P2,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristRadUln:P5,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:impactShaftLean:P5,38,0.0,0.0,38,0.6388,4.0833,38,0.0049,3.1603,38,1.0,7.1018,38,1.0,13.6,38,0.9474,8.8,38,0.273,4.0528,38,0.0147,3.6,38,0.0111,14.0,38,0.0,0.0,38,0.0,1.2624,38,0.0,2.6,38,0.0,3.6289,38,0.0,0.4831,38,0.0,1.2624,38,0.0,0.0
metric:lagAngle:P0,38,0.0,0.0,38,0.5946,5.2792,38,0.87,5.0448,38,0.8971,5.5745,38,1.1478,6.9335,38,0.856,6.3678,38,1.3029,4.9872,38,0.7753,6.0016,38,1.2297,5.8027,38,0.0548,1.0748,38,0.0356,0.7837,38,0.0563,1.6371,38,0.0343,1.2483,38,0.0266,1.4667,38,0.0502,0.8334,38,0.0232,1.7224
metric:lagAngle:P2,38,0.0,0.0,38,1.861,7.6786,38,1.1566,4.1903,38,1.6563,6.8554,38,2.1462,7.5023,38,2.2367,6.766,38,1.4175,5.9401,38,1.4034,5.5525,38,1.324,6.2816,38,0.0801,1.6377,38,0.0793,1.9624,38,0.0807,1.5436,38,0.0537,2.1118,38,0.0475,1.2244,38,0.0504,1.9955,38,0.0307,1.3543
metric:lagAngle:P5,38,0.0,0.0,38,0.8118,3.3515,38,0.7929,5.1084,38,0.8522,3.3748,38,1.2765,3.4007,38,0.9468,3.5278,38,1.1416,3.5365,38,0.6599,2.4897,38,1.007,3.4991,38,0.0318,0.7672,38,0.0317,0.691,38,0.0809,2.5399,38,0.0241,1.4646,38,0.0568,0.8358,38,0.0358,1.3145,38,0.0142,0.6999
metric:leadArmAngularSpeed:P5,34,0.0,0.0,34,7.3102,66.2775,34,7.1455,69.7687,34,11.7622,75.5554,34,12.4884,86.0958,34,8.7954,74.3634,34,12.1728,91.2776,34,9.5564,72.0996,34,4.8012,84.2744,34,1.8152,14.5243,34,3.1662,14.5667,34,1.6708,13.8913,34,1.9844,15.19,34,1.3087,13.4604,34,2.1733,10.7934,34,1.8263,14.2326
metric:leadArmAngularSpeed:P9,38,0.0,0.0,38,15.673,65.3407,37,10.0004,67.1538,37,12.4418,104.0904,38,15.8353,70.8844,37,6.8774,80.4492,38,18.4457,95.2688,37,13.1619,109.801,37,15.4466,110.6395,38,3.8228,31.9445,38,4.8307,43.3629,38,6.3522,36.7461,38,3.2729,22.5749,38,3.9716,30.9239,38,3.1886,31.5783,38,4.2454,18.9129
metric:leadArmToTorso:P0,38,0.0,0.0,38,0.5182,2.1181,38,0.3197,1.5088,38,0.4801,1.6343,38,0.7728,2.4635,38,0.4677,1.8565,38,0.5992,1.9971,38,0.3604,1.9433,38,0.312,2.1815,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadArmToTorso:P2,38,0.0,0.0,38,2.6544,16.8752,38,2.9992,12.3923,38,2.4968,25.2395,38,3.9938,13.6371,38,3.167,23.0199,37,3.694,10.4603,38,1.9235,28.4085,37,2.5387,20.2391,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadArmToTorso:P5,37,0.0,0.0,37,0.2802,2.2023,38,0.172,0.8891,37,0.2998,1.195,37,0.3858,1.6964,37,0.2629,2.0454,37,0.4689,2.3727,37,0.2464,2.2094,37,0.2328,1.9572,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
metric:leadArmToTorso:P7,38,0.0,0.0,38,3.4317,16.5337,38,2.5654,16.5125,38,2.7652,18.2091,38,3.0074,21.0749,38,3.4599,22.4985,38,5.1022,18.1857,38,3.1267,31.8156,38,2.9259,15.2365,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadFootFlare:P0,38,0.0,0.0,38,2.1658,8.4815,38,1.6675,11.0709,38,2.1086,8.3844,38,3.3167,12.9171,38,2.3407,11.263,38,2.061,12.4019,38,2.359,13.9815,38,1.8093,5.8224,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHandWidth:P0,38,0.0,0.0,38,0.5611,14.0778,38,0.5171,7.2015,38,0.9016,13.8839,38,0.9761,10.0121,38,0.6133,22.9358,38,0.7869,25.8939,38,0.497,20.2743,38,0.6828,12.3305,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHandWidth:P2,38,0.0,0.0,38,0.9188,9.914,38,0.7411,4.335,38,1.0762,11.3946,38,0.8522,12.4875,38,1.0205,16.8245,38,1.3309,9.8336,38,0.6552,15.151,38,0.7847,11.7744,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHandWidth:P5,37,0.0,0.0,37,1.0891,9.1492,38,0.6992,8.6456,37,1.0952,9.7382,37,1.0186,5.363,37,1.0069,18.4998,37,1.5838,11.7172,37,0.8536,14.1704,37,0.7653,13.4643,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
